X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,speed,course,hAcc,vAcc
-76.438597,36.795599,0,0,39,6.273887,2021/05/19 18:23:27+00,,,,,,,,,,,,,,,,,,,,,,1.471152,239.404251,1.13987,0.797465
-76.438603,36.795587,0,0,40,6.275418,2021/05/19 18:23:28+00,,,,,,,,,,,,,,,,,,,,,,1.547429,223.904633,1.13922,0.796495
-76.43861,36.795573,0,0,41,6.282827,2021/05/19 18:23:29+00,,,,,,,,,,,,,,,,,,,,,,1.623732,222.816147,1.138806,0.795692
-76.438617,36.79556,0,0,42,6.29631,2021/05/19 18:23:30+00,,,,,,,,,,,,,,,,,,,,,,1.69888,224.611542,1.138694,0.795122
-76.438625,36.795546,0,0,43,6.315939,2021/05/19 18:23:31+00,,,,,,,,,,,,,,,,,,,,,,1.77185,225.868668,1.138939,0.79484
-76.438634,36.795531,0,0,44,6.341628,2021/05/19 18:23:32+00,,,,,,,,,,,,,,,,,,,,,,1.841942,223.69162,1.139582,0.794885
-76.438643,36.795516,0,0,45,6.373104,2021/05/19 18:23:33+00,,,,,,,,,,,,,,,,,,,,,,1.908723,220.359482,1.140642,0.795278
-76.438652,36.7955,0,0,46,6.40992,2021/05/19 18:23:34+00,,,,,,,,,,,,,,,,,,,,,,1.971918,211.385574,1.14211,0.796017
-76.438661,36.795483,0,0,47,6.451499,2021/05/19 18:23:35+00,,,,,,,,,,,,,,,,,,,,,,2.031411,210.279343,1.143943,0.797072
-76.438671,36.795466,0,0,48,6.497181,2021/05/19 18:23:36+00,,,,,,,,,,,,,,,,,,,,,,2.087322,209.18544,1.146059,0.798384
-76.43868,36.795449,0,0,49,6.546268,2021/05/19 18:23:37+00,,,,,,,,,,,,,,,,,,,,,,2.139754,206.015778,1.148332,0.799863
-76.438688,36.79543,0,0,50,6.598053,2021/05/19 18:23:38+00,,,,,,,,,,,,,,,,,,,,,,2.188608,203.551468,1.150595,0.801388
-76.438696,36.795412,0,0,51,6.651842,2021/05/19 18:23:39+00,,,,,,,,,,,,,,,,,,,,,,2.233562,199.377136,1.152655,0.802815
-76.438704,36.795392,0,0,52,6.706965,2021/05/19 18:23:40+00,,,,,,,,,,,,,,,,,,,,,,2.274132,201.331894,1.154311,0.803996
-76.438711,36.795372,0,0,53,6.762791,2021/05/19 18:23:41+00,,,,,,,,,,,,,,,,,,,,,,2.309921,206.393036,1.155404,0.804807
-76.438717,36.795352,0,0,54,6.818733,2021/05/19 18:23:42+00,,,,,,,,,,,,,,,,,,,,,,2.340466,208.802063,1.155893,0.805202
-76.438723,36.795331,0,0,55,6.874266,2021/05/19 18:23:43+00,,,,,,,,,,,,,,,,,,,,,,2.365365,208.760651,1.155962,0.805291
-76.438727,36.79531,0,0,56,6.92893,2021/05/19 18:23:44+00,,,,,,,,,,,,,,,,,,,,,,2.384421,205.714355,1.15618,0.805443
-76.438731,36.795289,0,0,57,6.982342,2021/05/19 18:23:45+00,,,,,,,,,,,,,,,,,,,,,,2.397536,198.390289,1.157705,0.806441
-76.438734,36.795267,0,0,58,7.034204,2021/05/19 18:23:46+00,,,,,,,,,,,,,,,,,,,,,,2.404689,196.690994,1.162546,0.809656
-76.438737,36.795246,0,0,59,7.084297,2021/05/19 18:23:47+00,,,,,,,,,,,,,,,,,,,,,,2.406103,194.086853,1.173824,0.817249
-76.438738,36.795224,0,0,60,7.132492,2021/05/19 18:23:48+00,,,,,,,,,,,,,,,,,,,,,,2.402545,190.014832,1.195965,0.832315
-76.438739,36.795203,0,0,61,7.178762,2021/05/19 18:23:49+00,,,,,,,,,,,,,,,,,,,,,,2.39531,168.421387,1.234677,0.858882
-76.438739,36.795181,0,0,62,7.223189,2021/05/19 18:23:50+00,,,,,,,,,,,,,,,,,,,,,,2.385989,159.659286,1.296543,0.901635
-76.438723,36.79516,0,0,63,7.212964,2021/05/19 18:23:51+00,,,,,,,,,,,,,,,,,,,,,,2.212702,-1,1.234181,0.858248
-76.438706,36.795146,0,0,64,7.217238,2021/05/19 18:23:52+00,,,,,,,,,,,,,,,,,,,,,,2.221968,-1,1.193706,0.830844
-76.438689,36.795132,0,0,65,7.21891,2021/05/19 18:23:53+00,,,,,,,,,,,,,,,,,,,,,,2.236232,-1,1.171173,0.815826
-76.43867,36.795118,0,0,66,7.217907,2021/05/19 18:23:54+00,,,,,,,,,,,,,,,,,,,,,,2.255841,-1,1.16033,0.808766
-76.438651,36.795104,0,0,67,7.214324,2021/05/19 18:23:55+00,,,,,,,,,,,,,,,,,,,,,,2.280387,-1,1.156306,0.806256
-76.438632,36.795091,0,0,68,7.208409,2021/05/19 18:23:56+00,,,,,,,,,,,,,,,,,,,,,,2.308816,342.13974,1.155674,0.805932
-76.438611,36.795078,0,0,69,7.200543,2021/05/19 18:23:57+00,,,,,,,,,,,,,,,,,,,,,,2.339909,343.797028,1.156246,0.806313
-76.43859,36.795065,0,0,70,7.191199,2021/05/19 18:23:58+00,,,,,,,,,,,,,,,,,,,,,,2.372569,347.200195,1.156777,0.806577
-76.438568,36.795053,0,0,71,7.180879,2021/05/19 18:23:59+00,,,,,,,,,,,,,,,,,,,,,,2.405819,12.384202,1.156674,0.806354
-76.438546,36.79504,0,0,72,7.170064,2021/05/19 18:24:00+00,,,,,,,,,,,,,,,,,,,,,,2.438847,8.729845,1.155765,0.805559
-76.438523,36.795028,0,0,73,7.159173,2021/05/19 18:24:01+00,,,,,,,,,,,,,,,,,,,,,,2.470943,7.145123,1.154122,0.804269
-76.4385,36.795016,0,0,74,7.148551,2021/05/19 18:24:02+00,,,,,,,,,,,,,,,,,,,,,,2.501485,22.860674,1.151937,0.802635
-76.438476,36.795003,0,0,75,7.138467,2021/05/19 18:24:03+00,,,,,,,,,,,,,,,,,,,,,,2.530061,39.332722,1.149439,0.80083
-76.438452,36.794991,0,0,76,7.129118,2021/05/19 18:24:04+00,,,,,,,,,,,,,,,,,,,,,,2.556533,45.605553,1.146849,0.799013
-76.438427,36.794979,0,0,77,7.120635,2021/05/19 18:24:05+00,,,,,,,,,,,,,,,,,,,,,,2.580961,71.313614,1.144351,0.797314
